score,content
0,奖励 就是 亲
0,谢谢 妹妹 加 朋友
0,喜欢 吃 南浮
0,好 吧 小 很 强悍 怕 不
1,他 女朋友 旁边 所以 不 方便 跟 说话
0,讲 的话 真 幽默
1,真的 那 好 心疼
0,无所不能 可是 刚才 差点 要 上 百度
0,就是 漂亮 嘛 完美
1,跟 一个 低级 计算机系统 说话 要 那么 讲究
1,不行 必须 起
0,这么 丑 还 漂亮
1,一点 也 不好 没有 人 懂 知道
0,噢 咋 设置 美女
0,石家庄 五星级 酒店
0,机器人 怎么 可能 忙
0,哪有 这是 微笑 微笑
1,无聊 阿肿 办
1,无语 看来 白说
1,快点 别 废话 多
1,不好 咋 地
0,我要 看 美女视频
1,讨厌 手机信号 不好
1,吃饭 不行 哪
0,喜欢 夕颜 咋办
1,低 哦 肆意 眼
1,作为 一个 强攻 失败
1,小孩 上网 有害 健康
1,心情 不好 可以 干嘛
1,突然 有种 莫名 心疼
1,为什么 大多数 有钱人 都 无情
1,呵呵 真 不好意思 看来 对 没有 用 只是 别人 工具
1,啥 不好 说 说
0,高中物理 要 怎么 学
0,陪 我哥 好 好玩 会
0,最好 专业 什么
0,叫 依依 还是 叫小琳
1,又 错乱 哦
0,翻译 希望 能 一起
0,手机 上网 都 能 干什么
1,无聊 做 事 作家
1,忧伤 光影 流年 歌词
1,说 别的 行不行 不上
1,两个 人 相爱 却 因为 学业 要 分开 三年 我心 好 难受
0,有种 永远 都 别 出来
0,想 平平安安 唱 洋葱
1,亮亮 去死吧 早死 早 超生
0,爱恋 尸 有没有 爸爸妈妈
0,呵呵 真是 机器人 那 喜欢
1,三妹 出来 弄死 他 无聊 他 欺负
0,认识 美女 胸部 飞尸 小熊 温雅
1,你好 现在 好烦 心情 也 不好 看 谁 都 不 顺眼
1,半个 小时 后 提醒 疯狂
0,收听 一下 呗 谢谢
1,小豆 真心 无语
1,李白 烦恼 吧
0,名片 赞 也 可以
0,东北 银 都 活雷锋 估计 极品 娃娃 也 一定 个 热心肠
0,谢 啦 号
0,弟弟 喜欢 插 菊花
0,美女 们 不会 怀孕 不用 怕
0,唱 歌唱 一楼
0,父母 死 也 开心
1,借口 就是 花心
1,他 不冷不热 语言 很 伤心
1,嚣张 个 毛
1,不 方便 把 不要 视频 区去
1,不行 为什么 吧
0,希望 如此 背
0,现在 要 换 事 很 不错
0,一票 一票 多 可爱
0,穿 马甲 照样 认识
0,呵呵 第一次 跟 聊天 刚好 有空
0,大哥 家族 才 建立 这么 多 打 就 不错
0,希望 也 爱 而 不是 喜欢 而已
0,开心 云朵 妹妹 吃 没有
0,猫 也 挺 好 还 很 可爱
0,哪一部 谍战剧 最 好看
0,美女 哦
1,对于 有些 事 感到 郁闷 耶
1,操 把 给 惹 生气 知道 不
0,现在 你 又 说 自己 很 聪明
0,喜欢 人品 如何
0,不错 还 有点 自知之明 嘻嘻
0,打过 幸福 就 好
0,谢谢 要 保护 钱 吃 吃饭
0,做个 不争 不 抢 不吵不闹 明媚 女子
0,萌小萌 欢迎 回来 看小潘
0,笔记本 平板 电脑 区别 什么
0,俩 演戏 有意思
0,十八般 武器 样样 拿手
1,广告 机器人 太 难听 能 不能 改 一个 名字
1,去 死 会 去 睡
1,如果 一个 男生 心里 同时 在乎 几个 女生 怎么办 花心
0,那个 红色 居然 比 红色 小 还 便宜
1,怎么 七仔 生气
1,忘情水 歌词 机器人
0,小龙 美女 是否是 管理
1,浮华 黯然失色 美
0,结果 会 舒服
1,真的 要 生气 咯
0,请 您 安息 吧
0,大 和平 桥边 这里 二十 洋 这 世道 还有 这 价格
1,去死吧 这个 没用 东西
0,这个 小姑娘 好 挺 有意思 嘛 喜欢
1,机器人 虚拟 吧
0,那 还 说 能干 着 干 那
1,爆操 孤独 云 霏
0,社会 必要 时
0,都 赞 等 着 回赞
1,大 意念 术
0,对 知识 渴求 就是 要 知道 为什么
0,一些 那 最 主要 誰
0,林黛玉 贾宝玉 多情种子 富 二代
1,爱 拼好 难看
1,每次 他 要 不 高兴 都 会 难过 两三天
1,嗯 好 那 心情 不好 怎么办 呢
0,这得 感谢 陈心
0,聊天 比 男朋友 聊天 都 心情舒畅
1,自恋 下流 贱
1,好 吧 委屈 点
1,逛得 好 无聊 回家 可 你们 做 什么 呢
1,那 怎么 不 他们 说话
1,不 可爱 笑 一个
1,突然 觉得 没意思 应该 怎么 做
0,很 喜欢 看 天天 有喜
0,喜欢 温家宝 更 喜欢 你妹
1,也 机器人 没劲
0,赫赫 露馅 聊天 对不上 口
1,都 被 你们 搞糊涂
1,不好 笑 叫点 好笑
1,就是 觉得 有时候 特 没意思
1,级帅 男 心碎 恭喜 要 加油 哦
0,群里 谁 雪人 相好
